Record	Yhat	Residual	Hat	RinvRes	AOMstat
337	6.5224	0.2857	0.1432E-01	0.1185	0.1804
338	6.5224	0.6591	0.1432E-01	0.2388	0.3636
339	6.5224	0.5984	0.1432E-01	0.1504	0.2289
340	6.5224	1.405	0.1432E-01	0.6097	0.9282
341	6.5224	-0.6244	0.1432E-01	-0.4059	-0.6179
342	6.5224	1.167	0.1432E-01	0.3931	0.5985
343	6.5224	2.757	0.1432E-01	0.9302	1.416
344	6.5224	3.833	0.1432E-01	1.504	2.290
345	6.5224	0.1921	0.1432E-01	-0.1200	-0.1842
346	6.5224	-0.1157	0.1432E-01	0.1955E-01	0.3001E-01
347	6.5224	-1.308	0.1432E-01	-0.5121	-0.7796
348	6.5224	-0.9140	0.1432E-01	-0.3407	-0.5187
349	6.5224	0.2629	0.1432E-01	0.2216	0.3373
350	6.5224	-1.131	0.1432E-01	-0.5355	-0.8153
351	6.5224	0.6102	0.1432E-01	0.4233	0.6444
352	6.5224	-1.889	0.1432E-01	-0.8235	-1.254
353	6.5224	-0.5013	0.1432E-01	-0.1764	-0.2686
354	6.5224	1.117	0.1432E-01	0.4880	0.7429
355	6.5224	0.4210	0.1432E-01	0.3774E-01	0.5745E-01
356	6.5224	1.626	0.1432E-01	0.6126	0.9326
357	6.5224	1.319	0.1432E-01	0.3439	0.5236
358	6.5224	2.683	0.1432E-01	0.8450	1.286
359	6.5224	4.692	0.1432E-01	1.940	2.954
360	6.5224	-0.9473	0.1432E-01	-0.6512	-0.9995
361	6.5224	1.339	0.1432E-01	0.6319	0.9699
362	6.5224	-1.155	0.1432E-01	-0.5268	-0.8020
363	6.5224	-0.8306	0.1432E-01	-0.2469	-0.3759
364	6.5224	-0.9853	0.1432E-01	-0.5063	-0.7708
365	6.5224	2.344	0.1432E-01	1.191	1.812
366	6.5224	-2.350	0.1432E-01	-1.116	-1.713
367	-0.10000E-36	-0.1000E-36	-0.1000E-36	0.6245E-15	0.000
368	6.5224	-1.521	0.1432E-01	-0.7348	-1.128
369	6.5224	1.919	0.1432E-01	0.9431	1.436
370	6.5224	-0.6118	0.1432E-01	-0.2733	-0.4161
371	6.5224	-1.760	0.1432E-01	-0.6874	-1.047
372	6.5224	-0.8032	0.1432E-01	-0.2675	-0.4072
373	6.5224	0.2353	0.1432E-01	0.2107E-01	0.3207E-01
374	6.5224	2.337	0.1432E-01	1.105	1.683
375	6.5224	-2.009	0.1432E-01	-0.9799	-1.504
376	6.5224	-0.1292	0.1432E-01	-0.4910E-01	-0.7537E-01
377	6.5224	-0.1141	0.1432E-01	0.1485	0.2261
378	6.5224	-3.628	0.1432E-01	-1.628	-2.478
379	6.5224	1.198	0.1432E-01	0.6846	1.042
380	6.5224	0.4807	0.1432E-01	0.1588	0.2418
