Record	Yhat	Residual	Hat	RinvRes	AOMstat
71	6.4770	-0.3167	0.9731E-01	-0.4709	-0.8965
72	6.8448	0.3053	0.9737E-01	0.9864	1.878
73	6.7115	1.436	0.9742E-01	0.5724	1.090
74	6.5422	0.7659	0.9772E-01	0.7062	1.344
75	6.6009	1.038	0.9773E-01	-0.5696	-1.093
76	6.6216	1.872	0.9744E-01	0.9663	1.854
77	6.4211	0.1736	0.9735E-01	-0.3251	-0.6190
78	6.7174	2.916	0.9743E-01	2.027	3.860
79	6.7332	0.1417	0.4682E-01	-0.9085E-01	-0.1730
80	6.5311	-1.208	0.9742E-01	-0.2422	-0.4612
81	6.5328	-1.837	0.9739E-01	-0.9895	-1.884
82	6.8169	-3.477	0.9744E-01	-1.847	-3.517
83	6.8282	0.4125	0.9739E-01	0.5225	0.9948
84	6.4378	0.6337	0.9738E-01	-0.3008	-0.5728
85	6.8466	-1.222	0.9776E-01	-0.4565	-0.8691
86	6.7483	-0.6923	0.4490E-01	-0.2203	-0.4194
87	6.3905	-0.5072	0.9745E-01	-0.5301	-1.009
88	6.6606	1.050	0.9738E-01	-0.5323E-01	-0.1014
89	6.5128	-0.2217	0.9738E-01	-0.5071	-0.9655
90	6.5816	2.614	0.9744E-01	0.8963	1.720
91	6.6273	-0.3246	0.9733E-01	-0.2738	-0.5252
92	6.7126	-0.1750	0.9743E-01	0.4999	0.9518
93	6.4217	-1.189	0.9739E-01	-1.507	-2.870
94	6.5539	-0.1227	0.9733E-01	0.5861	1.116
95	6.5447	-1.746	0.9743E-01	-0.5790	-1.102
96	6.7272	0.3549	0.4985E-01	0.1131	0.2153
97	6.7789	0.3316E-01	0.9743E-01	1.281	2.439
98	6.7658	1.061	0.9768E-01	0.4747	0.9038
99	6.7664	1.648	0.9744E-01	0.7609	1.449
100	6.4241	-0.8278	0.9746E-01	-0.3536	-0.6731
101	6.8201	-0.4309E-01	0.9738E-01	0.2164	0.4121
102	6.7379	0.9088	0.9742E-01	0.6218	1.184
103	6.7332	2.314	0.4682E-01	0.4325	0.8234
104	6.7782	0.4936	0.9736E-01	0.2322	0.4421
105	6.6672	2.528	0.9738E-01	0.7561	1.450
106	6.7332	-1.716	0.4682E-01	-0.7514	-1.441
107	6.3678	-1.985	0.9742E-01	-1.338	-2.548
108	6.6395	0.7612E-01	0.9777E-01	0.6832	1.301
109	6.5431	-2.043	0.9739E-01	-0.6480	-1.234
110	6.6948	-1.456	0.9742E-01	-0.1477	-0.2813
111	6.6239	1.855	0.9734E-01	1.295	2.466
112	6.6156	-2.644	0.9740E-01	-1.519	-2.892
113	6.7483	-0.7295	0.4490E-01	-0.5692	-1.084
114	6.6289	0.3497	0.9737E-01	-0.4733E-01	-0.9010E-01
115	6.4560	-0.1394	0.9738E-01	-0.4469E-01	-0.8509E-01
116	6.6621	-0.6642	0.9746E-01	-0.3309	-0.6300
117	6.4256	-0.1498	0.9746E-01	-0.5081	-0.9674
118	6.8774	2.948	0.9736E-01	1.406	2.677
119	6.6704	-0.1674	0.9736E-01	-0.1262	-0.2403
120	6.7332	0.8867	0.4682E-01	-0.4303	-0.8255
121	6.7566	-0.3584	0.9739E-01	0.1677	0.3217
122	6.6215	0.7882	0.9741E-01	1.108	2.110
123	6.7272	-0.5476	0.4985E-01	0.1587	0.3022
124	6.6294	-2.953	0.9743E-01	-0.9625	-1.833
125	6.7218	-1.974	0.9738E-01	-0.3042	-0.5791
126	6.4896	-0.3066E-01	0.9744E-01	-0.5449	-1.037
127	6.4680	-0.9258	0.9745E-01	0.3974	0.7566
128	6.7429	0.2920	0.9736E-01	0.5280	1.005
129	6.7953	0.2458E-01	0.9737E-01	-0.4670	-0.8891
130	6.7483	0.9285	0.4490E-01	0.5397	1.028
131	6.6242	-0.8936E-01	0.9737E-01	0.2866	0.5457
132	6.7889	0.4040	0.9737E-01	-0.1014	-0.1930
133	6.5373	-0.2457E-01	0.9746E-01	-0.8783	-1.672
134	6.5695	-0.9016	0.9745E-01	-0.6480	-1.234
135	6.5506	1.922	0.9738E-01	0.5629	1.080
136	6.6118	-0.6935	0.9737E-01	-0.2160	-0.4144
137	6.6478	-0.9822	0.9742E-01	-0.5246	-0.9989
138	6.4160	-2.417	0.9731E-01	-1.294	-2.463
139	6.3973	-1.842	0.9776E-01	-0.5554	-1.057
140	6.7332	-1.921	0.4682E-01	-0.8937	-1.702
141	6.3685	0.5330	0.9739E-01	0.5653	1.076
142	6.5621	-1.721	0.9736E-01	-0.5305	-1.010
143	6.7831	-0.8240	0.9783E-01	-0.4705	-0.8958
144	6.5766	1.213	0.9746E-01	1.410	2.685
145	6.5853	0.3645	0.9737E-01	-0.2867	-0.5458
146	6.5150	-1.055	0.9742E-01	-0.8021	-1.527
147	6.7483	2.095	0.4490E-01	0.8581	1.634
148	6.6363	1.366	0.9747E-01	0.6585	1.254
149	6.5142	0.7749	0.9738E-01	0.2837	0.5401
150	6.6072	2.387	0.9747E-01	0.7070	1.356
151	6.4093	-0.2153	0.9739E-01	-0.1488	-0.2855
152	6.5424	-0.2553	0.9740E-01	0.8026E-01	0.1528
153	6.6242	0.3403	0.9746E-01	0.6289	1.197
154	6.7858	1.542	0.8923E-01	1.104	2.101
155	6.6294	0.7786	0.9738E-01	0.4006	0.7628
156	6.7847	-0.1768	0.9745E-01	-0.5820E-01	-0.1108
157	6.7483	-1.581	0.4490E-01	-0.2490	-0.4741
158	-0.10000E-36	-0.1000E-36	-0.1000E-36	0.1056E-14	0.2011E-14
159	6.6118	-2.552	0.9733E-01	-1.819	-3.463
160	6.5981	1.039	0.9739E-01	0.8297	1.580
161	6.5520	0.3209	0.9744E-01	0.3921E-01	0.7466E-01
162	6.4845	1.640	0.9737E-01	0.7578	1.443
163	6.8376	0.2248	0.9737E-01	0.2671	0.5085
164	6.7483	0.9622	0.4490E-01	0.1565	0.2979
165	6.5018	1.361	0.9743E-01	0.4029	0.7729
166	6.5185	0.6683	0.9737E-01	0.6921	1.328
167	6.7332	-0.4582	0.4682E-01	-0.4217	-0.8030
168	6.6381	-0.1909	0.9745E-01	0.2008	0.3823
169	6.6745	0.5562	0.9737E-01	-0.4081	-0.7770
170	6.6614	1.665	0.9738E-01	0.6524	1.242
171	6.5339	-0.9190	0.9740E-01	-0.7418	-1.412
172	6.5050	-1.484	0.9738E-01	-0.3641	-0.6933
173	6.6029	-0.7868	0.9775E-01	-0.2953	-0.5622
174	6.7483	-0.5442	0.4490E-01	0.2803	0.5338
175	6.3324	-0.2786	0.9742E-01	-0.9558	-1.820
176	6.7743	0.9887	0.9731E-01	0.5622	1.070
177	6.3716	-1.169	0.9746E-01	-0.8202	-1.562
178	6.8423	-2.509	0.9743E-01	-1.095	-2.085
179	6.5932	0.7895	0.9737E-01	0.6689E-01	0.1274
180	6.5545	-0.5074	0.9744E-01	-0.1925	-0.3694
181	6.6554	-0.8418	0.9744E-01	-0.6924	-1.328
182	6.6403	0.4127	0.9772E-01	0.2963	0.5641
183	6.6565	-1.416	0.9736E-01	-0.9186	-1.749
184	6.7272	1.492	0.4985E-01	0.4711	0.8970
185	6.5088	1.598	0.9743E-01	0.1369	0.2606
186	6.7562	0.8651	0.9731E-01	0.8031	1.529
187	6.4465	-0.4040	0.8913E-01	0.3387	0.6448
188	6.7417	0.2546	0.9737E-01	-0.9391E-01	-0.1788
189	6.8551	0.4412	0.9772E-01	0.2260	0.4302
190	6.6365	2.167	0.9742E-01	1.251	2.382
191	6.7332	0.9586	0.4682E-01	0.1234	0.2350
192	6.6462	-0.8189	0.9742E-01	-0.2412	-0.4592
193	6.5934	-1.880	0.9730E-01	-0.2923	-0.5564
194	6.8855	1.741	0.9749E-01	1.207	2.297
195	6.6249	-1.865	0.9737E-01	-0.8243	-1.581
196	6.6128	0.2061E-01	0.9738E-01	-0.1742E-01	-0.3341E-01
197	6.8022	1.142	0.9743E-01	0.5770	1.099
198	6.7899	0.4318E-03	0.9777E-01	1.049	1.998
199	6.6759	1.864	0.9730E-01	0.6092	1.160
200	6.5732	1.535	0.9735E-01	1.155	2.200
201	6.7483	-0.6099	0.4490E-01	-0.8695	-1.655
202	6.7518	-1.648	0.9738E-01	-0.4091	-0.7790
203	6.6709	1.469	0.9737E-01	1.308	2.490
204	6.5919	0.6136E-01	0.9744E-01	0.4111	0.7827
205	6.5516	0.4839	0.9737E-01	-0.1322	-0.2516
206	6.4954	0.5737	0.9738E-01	0.1677	0.3192
207	6.6054	-0.1074	0.9739E-01	0.2132	0.4059
208	6.7272	-1.963	0.4985E-01	-0.2932	-0.5582
209	6.4875	-0.7574	0.9744E-01	-1.024	-1.951
210	6.4991	-1.640	0.9737E-01	-0.3703	-0.7104
211	6.7332	0.5732	0.4682E-01	0.4396	0.8434
212	6.4378	-0.4689	0.9738E-01	-0.4281	-0.8151
213	6.5732	-4.132	0.9735E-01	-2.318	-4.413
214	6.5826	-0.2485	0.9743E-01	-0.5937	-1.130
215	6.3508	-2.475	0.9738E-01	-1.417	-2.698
